id;year;month;day;julian-day;photoperiod;air-temperature;air-humidity;wind-speed-2-meters;extraterrestrial-solar-radiation;solar-radiation
1;2015;1;1;1;13.35077;25.42;74.1;1.801;42.77544;20.41182
2;2015;1;2;2;13.34552;26.31;70.53;1.846;42.76151;19.40389
3;2015;1;3;3;13.33978;24.22;81.5;1.72;42.74703;16.67012
4;2015;1;4;4;13.33355;22.98;82;1.415;42.72937;15.13193
5;2015;1;5;5;13.32682;23.06;80.7;2.039;42.71026;19.45431
6;2015;1;6;6;13.31961;22.65;85.3;1.506;42.68881;17.59674
7;2015;1;7;7;13.31193;24.8;72.96;1.608;42.66501;23.44447
8;2015;1;8;8;13.30377;24.46;75.66;1.536;42.63971;25.30003
9;2015;1;9;9;13.29515;27.04;65.21;1.365;42.61203;25.79325
10;2015;1;10;10;13.28607;27.37;64.45;1.539;42.58281;25.59676
11;2015;1;11;11;13.27654;27.02;66.83;1.705;42.5503;24.14022
12;2015;1;12;12;13.26657;26.31;68.78;1.683;42.51708;24.94585
13;2015;1;13;13;13.25616;27.69;58.26;1.575;42.48054;26.38259
14;2015;1;14;14;13.24533;26.36;70.1;1.901;42.44239;21.17661
15;2015;1;15;15;13.23407;27.06;64.74;2.053;42.40174;26.29863
16;2015;1;16;16;13.22241;27.1;65.82;1.873;42.35943;26.63741
17;2015;1;17;17;13.21034;28.35;60.69;1.439;42.31459;25.47902
18;2015;1;18;18;13.19788;29.07;54.7;1.607;42.26805;25.62495
19;2015;1;19;19;13.18503;28.69;59.58;1.831;42.21893;26.28289
20;2015;1;20;20;13.17181;27.92;54.46;2.016;42.16806;25.00207
21;2015;1;21;21;13.15822;24.01;74.66;1.958;42.11373;21.81295
22;2015;1;22;22;13.14427;22.55;77.24;2.787;42.05847;21.28407
23;2015;1;23;23;13.12998;21.58;78.49;2.312;42.00055;16.71773
24;2015;1;24;24;13.11534;23.66;71.42;2.019;41.93996;24.37954
25;2015;1;25;25;13.10038;23.63;73.2;1.995;41.87753;24.21728
26;2015;1;26;26;13.0851;21.59;84;0.613;41.81323;19.56218
27;2015;1;27;27;13.0695;23.21;79.77;0.315;41.7462;25.3763
28;2015;1;28;28;13.05361;24.14;77.69;1.247;41.67727;21.72193
29;2015;1;29;29;13.03742;23.13;82.5;1.025;41.60558;18.58709
30;2015;1;30;30;13.02095;22.21;84;0.057;41.53196;18.89168
31;2015;1;31;31;13.0042;22.53;79.62;0.065;41.45638;24.36072
32;2015;2;1;32;12.98719;23.94;78.84;0.106;41.37799;20.36134
33;2015;2;2;33;12.96993;23.22;80.7;0.286;41.29679;18.2978
34;2015;2;3;34;12.95241;23.21;78.28;0.494;41.21443;24.51007
35;2015;2;4;35;12.93466;21.15;88;0.478;41.12922;11.76137
36;2015;2;5;36;12.91668;20.35;92.8;0.393;41.04199;6.516613
37;2015;2;6;37;12.89848;20.35;87.9;0.668;40.95191;13.72778
38;2015;2;7;38;12.88007;21.45;79.96;0.74;40.85978;20.60123
39;2015;2;8;39;12.86145;23.73;74.69;0.488;40.76561;23.3308
40;2015;2;9;40;12.84264;22.43;88;0.235;40.66938;16.96354
41;2015;2;10;41;12.82364;23;87;1.196;40.57027;19.9077
42;2015;2;11;42;12.80446;23.98;81.2;0.57;40.46991;19.43264
